Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,3 3 6 5,238,295,383,228,228,328,241,344,252,243,341,244
Baja California,9 3 0 9,662,727,937,727,709,998,745,980,730,767,814,513
Baja California Sur,9 7 6,61,48,91,63,70,120,86,102,88,89,88,70
Campeche,1 4 3 2,116,128,148,114,124,182,103,165,115,81,94,62
Coahuila,7 6 3 0,603,470,617,426,586,829,660,803,718,747,774,397
Colima,9 7 6,47,89,115,88,97,128,84,109,58,53,72,36
Chiapas,8 3 7 1,704,762,866,645,671,855,587,865,689,559,735,433
Chihuahua,1 0 7 1 8,961,827,1 149,819,813,992,842,1 033,723,860,987,712
Distrito Federal,1 6 7 9 8,1 488,1 644,1 835,1 319,1 276,1 651,1 255,1 373,1 298,1 259,1 451,949
Durango,5 4 3 4,427,556,640,520,530,568,462,433,276,314,447,261
Guanajuato,9 2 8 3,710,757,972,676,769,997,736,933,673,748,779,533
Guerrero,8 5 7 0,654,692,987,644,726,832,644,886,605,659,792,449
Hidalgo,5 1 1 0,332,401,488,390,558,496,367,468,375,476,501,258
Jalisco,1 9 0 3 1,1 441,1 440,2 145,1 439,1 539,1 993,1 503,1 857,1 393,1 515,1 670,1 096
M ‚xico,3 4 1 3 5,2 547,2 509,3 487,2 354,2 218,3 171,2 494,3 809,2 976,2 890,3 530,2 150
M ichoac n,7 4 9 5,587,679,668,612,663,783,568,695,589,637,643,371
M orelos,6 5 1 3,444,536,955,606,592,554,450,534,410,501,579,352
Nayarit,2 3 5 4,156,212,248,198,172,199,178,290,225,157,189,130
Nuevo Le¢n,9 7 0 8,815,837,1 177,633,723,968,761,942,674,795,937,446
Oaxaca,7 4 4 4,770,758,897,533,529,785,500,745,566,560,520,281
Puebla,1 0 1 1 4,659,859,1 061,739,792,901,828,943,840,881,982,629
Quer‚taro,2 8 5 1,234,250,293,178,201,248,208,249,239,293,305,153
Quintana Roo,1 9 2 1,122,151,195,141,180,221,160,187,145,152,160,107
San Luis Potos¡,7 3 4 8,591,664,872,546,561,775,613,735,542,528,562,359
Sinaloa,9 4 4 1,666,660,898,715,764,1 033,760,968,781,851,832,513
Sonora,5 8 8 2,381,476,687,466,486,577,502,581,389,479,501,357
Tabasco,4 7 2 1,341,405,514,329,365,554,346,474,337,377,404,275
Tamaulipas,7 9 3 4,585,564,881,577,634,849,713,852,593,587,671,428
Tlaxcala,2 1 5 1,148,172,224,166,168,203,147,220,164,213,197,129
Veracruz,1 6 2 5 0,1 239,1 493,1 822,1 390,1 385,1 744,1 210,1 601,1 087,1 141,1 312,826
Yucat n,3 8 7 5,303,361,442,320,294,452,331,366,244,260,269,233
Zacatecas,3 0 9 4,199,271,339,213,241,328,281,363,233,252,249,125
TOTAL GLOBAL,2 5 0 2 3 4,1 9 2 3 1,2 0 6 9 3,2 7 0 3 3,1 8 8 1 4,1 9 6 6 4,2 5 3 1 4,1 9 3 6 5,2 4 9 0 5,1 9 0 2 7,1 9 9 2 4,2 2 3 8 7,1 3 8 7 7
